id,title,deity,deity_key,deity_group,type,tradition_region,priority,copyright_status,original_sourced,transliteration_done,meaning_en_done,meaning_hi_done,reviewed,source_url,notes,copyright_risk,author,period,origin_note
C001,Hanuman Chalisa,Hanuman,hanuman,hanuman,Chalisa,Pan-India,1,Public domain (Tulsidas ~16th c),no,no,no,no,no,,Anchor Chalisa; 40 chaupai + opening/closing dohas; definitive PD text,PD-clear,,,
C002,Durga Chalisa,Durga,durga,shakti,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,Namo namo Durge sukh karani; pairs with A004,PD-likely,,,
C003,Shiv Chalisa,Shiva,shiva,shiva,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,"Jai Ganesh Girija Suvan opening; pairs with A003, Kedarnath/Kashi pages",PD-likely,,,
C004,Ganesh Chalisa,Ganesha,ganesha,ganesha,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,Jai Ganpati Sadgun Sadan; pairs with A001/A038,PD-likely,,,
C005,Saraswati Chalisa,Saraswati,saraswati,shakti,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A006,PD-likely,,,
C006,Lakshmi Chalisa,Lakshmi,lakshmi,shakti,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A005,PD-likely,,,
C007,Vishnu Chalisa,Vishnu,vishnu,vishnu,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A002/A013,PD-likely,,,
C008,Ram Chalisa,Rama,rama,vishnu,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A009; Ayodhya pages,PD-likely,,,
C009,Krishna Chalisa,Krishna,krishna,vishnu,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A008/A024; Braj pages,PD-likely,,,
C010,Gayatri Chalisa,Gayatri,gayatri,shakti,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A018,PD-likely,,,
C011,Shani Chalisa,Shani Dev,shani,navagraha,Chalisa,Pan-India,1,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A011,PD-likely,,,
C012,Surya Chalisa,Surya,surya,surya,Chalisa,Pan-India,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A031,PD-likely,,,
C013,Kali Chalisa,Kali,kali,shakti,Chalisa,Pan-India / Bengal,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A014,PD-likely,,,
C014,Parvati Chalisa,Parvati,parvati,shakti,Chalisa,Pan-India,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,consort of Shiva; relevant to Shiva/Shakti temple pages,PD-likely,,,
C015,Annapurna Chalisa,Annapurna,annapurna,shakti,Chalisa,Pan-India (Kashi),2,Public domain (traditional; attribution unclear),no,no,no,no,no,,form of Parvati; Kashi Vishwanath page; pairs with A017,PD-likely,,,
C016,Radha Chalisa,Radha,radha,vishnu,Chalisa,Braj,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A019; Barsana pages,PD-likely,,,
C017,Tulsi Chalisa,Tulsi,tulsi,vishnu,Chalisa,Pan-India,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A030,PD-likely,,,
C018,Ganga Chalisa,Ganga,ganga,river,Chalisa,North India,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A027; Haridwar/Varanasi pages,PD-likely,,,
C019,Yamuna Chalisa,Yamuna,yamuna,river,Chalisa,Braj,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A028,PD-likely,,,
C020,Vishwakarma Chalisa,Vishwakarma,vishwakarma,other,Chalisa,Pan-India,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A035,PD-likely,,,
C021,Kaal Bhairav Chalisa,Kaal Bhairav,bhairava,shiva,Chalisa,Pan-India,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,form of Shiva; relevant to Shiva/Kashi pages (needs deity_group to aggregate),PD-likely,,,
C022,Sheetla Chalisa,Sheetla Mata,sheetala,shakti,Chalisa,North India,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,Sheetla Ashtami,PD-likely,,,
C023,Jagannath Chalisa,Jagannath,jagannath,vishnu,Chalisa,Odisha,2,Public domain (traditional; attribution unclear),no,no,no,no,no,,pairs with A021; Puri page,PD-likely,,,
C024,Mangal Chalisa,Mangal (Mars),mangal,navagraha,Chalisa,Pan-India,3,Public domain (traditional; attribution unclear),no,no,no,no,no,,Navagraha set; pairs with A032,PD-likely,,,
C025,Budh Chalisa,Budh (Mercury),budh,navagraha,Chalisa,Pan-India,3,Public domain (traditional; attribution unclear),no,no,no,no,no,,Navagraha set,PD-likely,,,
C026,Brihaspati Chalisa,Brihaspati (Guru/Jupiter),brihaspati,navagraha,Chalisa,Pan-India,3,Public domain (traditional; attribution unclear),no,no,no,no,no,,Navagraha set,PD-likely,,,
C027,Shukra Chalisa,Shukra (Venus),shukra,navagraha,Chalisa,Pan-India,3,Public domain (traditional; attribution unclear),no,no,no,no,no,,Navagraha set,PD-likely,,,
C028,Chandra Chalisa,Chandra (Moon),chandra,navagraha,Chalisa,Pan-India,3,Public domain (traditional; attribution unclear),no,no,no,no,no,,Navagraha set,PD-likely,,,
C029,Rahu Chalisa,Rahu,rahu,navagraha,Chalisa,Pan-India,3,Public domain (traditional; attribution unclear),no,no,no,no,no,,Navagraha set,PD-likely,,,
C030,Ketu Chalisa,Ketu,ketu,navagraha,Chalisa,Pan-India,3,Public domain (traditional; attribution unclear),no,no,no,no,no,,Navagraha set,PD-likely,,,
C031,Shri Swaroop Chalisa,Swaroopanand (Nangli Sahib),nangli-sahib,saint-guru,Chalisa,Meerut / North India,2,Verify (20th-c Nangli / Paramhans Advait Mat sect composition),no,no,no,no,no,,"Listed per user; pairs with Nangli aarti A037. CLEARED 5 Jul 2026 by Vivek: same rationale as A037, close ties to the Nangli Darbar Trust, non-commercial sangat use, Vivek accepts responsibility. Text still needs sourcing (original_sourced=no); produce per the runbook once ready.",Cleared-authorized,,,
C032,Sai Baba Chalisa,Shirdi Sai Baba,sai-baba,saint-guru,Chalisa,Maharashtra / Pan-India,3,Verify (modern; likely 20th c),no,no,no,no,no,,pairs with A012; hold text until cleared,REVIEW-recent,,,
