aarti_id,line_no,section,original,translit_roman,meaning_en,meaning_hi,meaning_mr,meaning_gu,meaning_pa,meaning_bn,meaning_ta,meaning_te,meaning_kn,meaning_ml,notes,original_true_script
SK001,1,shloka,शान्तं शाश्वतमप्रमेयमनघं निर्वाणशान्तिप्रदं ब्रह्माशम्भुफणीन्द्रसेव्यमनिशं वेदान्तवेद्यं विभुम् । रामाख्यं जगदीश्वरं सुरगुरुं मायामनुष्यं हरिं वन्देऽहं करुणाकरं रघुवरं भूपालचूड़ामणिम् ॥,"Shantam shashvatamaprameyamanagham nirvanashantipradam brahmashambhuphanindrasevyamanisham vedantavedyam vibhum, ramakhyam jagadishvaram suragurum mayamanushyam harim vande.aham karunakaram raghuvaram bhupalachu.damanim .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 1. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,2,shloka,नान्या स्पृहा रघुपते हृदयेऽस्मदीये सत्यं वदामि च भवानखिलान्तरात्मा। भक्तिं प्रयच्छ रघुपुङ्गव निर्भरां मे कामादिदोषरहितं कुरु मानसं च ॥,"Nanya sprriha raghupate hrridaye.asmadiye satyam vadami cha bhavanakhilantaratma, bhaktim prayachcha raghupu~ngava nirbharam me kamadidosharahitam kuru manasam cha .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 2. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,3,shloka,अतुलितबलधामं   हेमशैलाभदेहं दनुजवनकृशानुं   ज्ञानिनामग्रगण्यम्। सकलगुणनिधानं    वानराणामधीशं रघुपतिप्रियभक्तं  वातजातं नमामि ॥,"Atulitabaladhamam hemashailabhadeham danujavanakrrishanum j~naninamagraganyam, sakalagunanidhanam vanaranamadhisham raghupatipriyabhaktam vatajatam namami .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: 3. Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,4,chaupai,जामवंत के बचन सुहाए। सुनि हनुमंत हृदय अति भाए ॥,"Jamavamta ke bachana suhae, suni hanumamta hrridaya ati bhae .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,5,chaupai,तब लगि मोहि परिखेहु तुम्ह भाई। सहि दुख कंद मूल फल खाई ॥,"Taba lagi mohi parikhehu tumha bhai, sahi dukha kamda mula phala khai .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,6,chaupai,जब लगि आवौं सीतहि देखी। होइहि काजु मोहि हरष बिसेषी ॥,"Jaba lagi avaum sitahi dekhi, hoihi kaju mohi harasha biseshi .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,7,chaupai,यह कहि नाइ सबन्हि कहुँ माथा। चलेउ हरषि हियँ धरि रघुनाथा ॥,"Yaha kahi nai sabanhi kahu.n matha, chaleu harashi hiya.n dhari Raghunatha .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,8,chaupai,सिंधु तीर एक भूधर सुंदर। कौतुक कूदि चढ़ेउ ता ऊपर ॥,"Simdhu tira eka bhudhara sumdara, kautuka kudi cha.dheu ta upara .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,9,chaupai,बार बार रघुबीर सँभारी। तरकेउ पवनतनय बल भारी ॥,"Bara bara Raghubira sa.nbhari, tarakeu Pavanatanaya bala bhari .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
SK001,10,chaupai,जेहिं गिरि चरन देइ हनुमंता। चलेउ सो गा पाताल तुरंता ॥,"Jehim giri charana dei hanumamta, chaleu so ga patala turamta .",,,,,,,,,,,"('Draft: Sundara Kanda (Ramcharitmanas), Tulsidas. Source: sanskritdocuments.org (manas5_i.itx, ITRANS transliteration by Balram J. Rathore); raw file stored at data/raw_sources/sundarkand_itrans_raw.txt. Devanagari here is machine-converted from that ITRANS source via indic_transliteration, NOT independently proofread against a Devanagari printed edition yet. Verse/doha number per source: n/a (chaupai). Tracker/category placement not yet decided (staging only). reviewed=no.',)",NA
