id,title,deity,deity_key,deity_group,type,tradition_region,priority,copyright_status,original_sourced,transliteration_done,meaning_en_done,meaning_hi_done,reviewed,source_url,notes,copyright_risk,author,period,origin_note
V001,Satyanarayan Vrat Katha,Vishnu (Satyanarayan),vishnu,vishnu,Vrat Katha,Pan-India,1,"Public domain (Sanskrit original, Skanda Purana Reva Khanda); Hindi prose editions are owned",no,no,no,no,no,,5 chapters; write our OWN prose retelling - never copy Gita Press or other published prose; pairs with A013,PD-clear,,,
V002,Solah Somvar Vrat Katha,Shiva,shiva,shiva,Vrat Katha,Pan-India,1,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required; no canonical PD wording exists,REVIEW-version,,,
V003,Somvar Vrat Katha,Shiva,shiva,shiva,Vrat Katha,Pan-India,1,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
V004,Mangalvar Vrat Katha,Hanuman,hanuman,hanuman,Vrat Katha,North India,1,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
V005,Budhvar Vrat Katha,Budh Dev,budh,navagraha,Vrat Katha,North India,2,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
V006,Brihaspativar (Guruvar) Vrat Katha,Brihaspati / Vishnu,brihaspati,navagraha,Vrat Katha,North India,1,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Very popular Thursday vrat; own retelling required,REVIEW-version,,,
V007,Shukravar Vrat Katha (Santoshi Mata),Santoshi Mata,santoshi,shakti,Vrat Katha,Pan-India,2,Verify (Santoshi Mata tradition is 20th c; katha and vrat may be owned),no,no,no,no,no,,HOLD like A010 - do not reproduce or retell until cleared,REVIEW-recent,,,
V008,Shanivar Vrat Katha,Shani,shani,navagraha,Vrat Katha,North India,1,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
V009,Ravivar Vrat Katha,Surya,surya,surya,Vrat Katha,North India,2,Verify (traditional tale PD; circulating prose is from owned editions),no,no,no,no,no,,Own retelling required,REVIEW-version,,,
V010,Karwa Chauth Vrat Katha,Karva Mata / Parvati,parvati,shakti,Vrat Katha,North India,1,Verify (traditional tale PD; multiple regional versions; prose editions owned),no,no,no,no,no,,"Queen Veervati and other regional variants - present as variants, own retelling",REVIEW-version,,,
